What did you learn today? (artists),Coded learning (artists),What did you learn today? (students),Coded learning (students),"Coded learning (1=other,2=generic,3=basic,4=advanced,5=research specific)"
"Los agujeros negros se forman por la explosión de una estrella muy grande, y este ente absorbe toda la materia alrededor y ni siquiera la luz puede escapar de su atracción gravitacional. Conforme la materia entra se emiten grandes cantidades de radiación. En las cercanías del hoyo negro hay una zona llamada horizonte de sucesos, pero no esta delimitado exactamente. En ocasiones el agujero se acompaña de una estrella. Se puede estudiar indirectamente mediante su interacción con sus alrededores. Y también tiene una especie de giro.",5,A veces el color del agujero negro tiene un diferente significado ,1,
"Más que datos, fueron las sensaciones. Los datos cambian y cambiarán, según descubran cosas nuestros científicos!",1,,,
,,"La velocidad de escape para salir de la tierra son 11 km por segundo.
Una vez que estés en un agujero negro ya no puedes salir.",2,
De como se veria la luz desde un lado al otro,2,"Que es un agujero negro, si podemos escapar de ellos, etc",2,
"Aprendí cómo se observan y estudian, algunas teorías nuevas sobre lo que pasaría si te acercás a los mismos, y que aún así siguen siendo un misterio.",3,Los agujeros negros siguen siendo un gran misterio y son mortales ,2,
"Nombres de agujeros negros y estrellas. Partes del agujero negro, como pueden desaparecer, teoría de cómo se estudian y cómo se comportan",3,,,
No se como verlo o donde puedo encontrarlo,1,"Creo que el podcast me ayudo a estar Mucho mas interesada en el tema, puesto que me encanta saber sobre que podría haber en el espacio. Creo que fue uno de mis podcast favoritos.",2,
"Aprendí que los agujeros negros están constituidos de enormes cantidades de masa lo cual genera un campo gravitatorio el cual impide que cualquier materia, pueda salir de esta, incluida la luz. Y que en el momento de que una estrella comienza a acercarse a un agujero negro, el gas de esta comienza a rodearlo generando un disco el cual al calentarse se genera
radiación.",5,Que hasta el día de hoy no se sabe con precisión como son los agujeros negros y que es lo que hay después de cruzar ese límite de horizonte ,4,
,,Aprendí mucho más sobre los agujeros negros desde cómo se forman de que tamaños puede haber que pueden causarle a un humano si se acercar y muchas cosas más. ,3,
Me llamó la atención el efecto de espaguetización y la deformación del espacio y del tiempo. Me encantó la manera de explicar planteando escenarios surrealistas que facilitan la comprensión a las personas que no tenemos un amplio conocimiento del tema.,3,Aprendí bastante sobre las ubicaciones de los agujeros negros y como se descubren nuevos.,2,
Que hay un punto de 'no-retorno',4,"Que es un agujero negro, si podemos escapar de ellos, etc",3,
aprendí mas a fondo sobre astro física y como estudiar los agujeros negros,3,"Una de las cosas que aprendí en el Podcast fue la formación de los agujeros negros, cosa que me pareció bastante interesante.",3,
No se como verlo o donde puedo encontrarlo,,Aprendí varias cosas de los agujeros negros,3,
,,"aprendí que existe un límite del que no se puede pasar cuando ye acercas a un agujero negro porque en ese límite necesitas la velocidad de la luz para poder escapar, y mientras más adentro vas, más velocidad necesitarías. claramente ninguna nave desarrollada hasta el momento viaja a la velocidad de la luz así que no se pueden acercar a ese límite porque no podrían regresar ",4,
Fue un repaso de conocimientos previos sobre agujeros negros que adquirí por hobby,3,Aprendí varias cosas de los agujeros negros,3,
"Después de escuchar el Podcast me surgieron algunas preguntas, que considero que no esta mal, porque esas inquietudes me movilizan a investigar mas. Si hubo un tema que me quedó mas claro referido al Horizonte de Eventos y otra respuesta que me confirmo una duda fue que el agujero en si, no es un agujero, sino algo, una materia que absorbe todo, incluso la luz. Entonces, a partir de esto, ¿Por qué lo siguen clasificando como agujero negro?, y surgieron otras preguntas mas básicas de ¿Cómo se originan? ¿Cuánto tiempo duran? el agujero de gusano, ¿se ha comprobado teóricamente que existe?, ¿tienen alguna relación o es una mera historia de ciencia ficción?",4,"Apendí sobre la gravedad, estrellas, la galaxia, ed donde vienen, como, demasiados datos interesantes",3,
"El efecto spaghettifiacation, La velocidad que se necesitaría para escapar de un agujero negro, su forma de nacer, la fuerza de la gravedad,.la instrumentación que se necesita para estudiarlos etc.",4,Aprendí bastante sobre las ubicaciones de los agujeros negros y como se descubren nuevos.,3,
"En realidad tenía muy poco conocimiento del tema, sabia de antemano que era algo que sucede en el universo, por la explosión de una estrella y dejaba formado un agujero negro que succiona todo lo que se encuentra, pero gracias al podcast aprendí varias cosas, cosas que tuve que investigar para entender e imaginarme la propuesta e imaginar como es que se ve un agujero negro. Supe las partes de un agujero negro, las cuales desconocía como el horizonte de eventos, la singularidad, ergosfera, etc. la espaguetización que es cuando la parte inferior del cuerpo tiene más atracción del agujero negro, lo cual haría que se alargara el cuerpo, y conocí que la única manera de ver un agujero negro es cuando se conforma de un sistema binario, cuando la estrella desprende un gas gracias a la velocidad rápida cuando queda atrapada en un agujero negro, formando un disco. ",4,"La velocidad de escape para salir de la tierra son 11 km por segundo.
Una vez que estés en un agujero negro ya no puedes salir.",4,
,,Que los agujeros negros son difíciles de estudiar y que sería imposible caer en uno ya que no podríamos ni acercarnos a uno.,3,
,,"La velocidad de escape para salir de la tierra son 11 km por segundo.
Una vez que estés en un agujero negro ya no puedes salir.",4,
"Lo que causa un agujero negro es la compresión de materia; El agujero negro es visible por la interacción con su entorno, como cuando interactúa con la estrella que lo acompaña. Siendo ésta la que aporta la materia que a su vez 
es absorbida por la gravedad del agujero negro, por estar a poca distancia entre sí. Cuando ""cae"" la materia al agujero negro en forma de espiral, se forma un disco a su alrededor. Esta materia o gas se calienta de tal manera que emite radiación infrarrojas y rayos X. ",5,,,
"Lo que causa un agujero negro es la compresión de materia; El agujero negro es visible por la interacción con su entorno, como cuando interactúa con la estrella que lo acompaña. Siendo ésta la que aporta la materia que a su vez 
es absorbida por la gravedad del agujero negro, por estar a poca distancia entre sí. Cuando ""cae"" la materia al agujero negro en forma de espiral, se forma un disco a su alrededor. Esta materia o gas se calienta de tal manera que emite radiación infrarrojas y rayos X. ",5,,,
"Lo escuché ya hace tiempo, pero de lo que más recuerdo me gustaron algunas curiosidades como la espaguetización o que puedes ver tu propia espalda, y las dimensiones de su masa respecto la tierra, que era mucho más masivo que una estrella de neutrones.",4,Que la masa de su interior es muy elevada y genera un campo gravitatorio que hace que ni las partículas de la luz puedan escapar de ella ,4,
,,Que la masa de su interior es muy elevada y genera un campo gravitatorio que hace que ni las partículas de la luz puedan escapar de ella ,4,
"Me encantó entender más acerca del horizonte de eventos
También me gustó mucho saber que debido a que son invisibles los estudian a través de la luz que irradian los cuerpos que giran al ser tragados por la inmensa gravedad de los agujeros
Me gustaría mucho aprender más acerca de los rayos x y los métodos que usan para estudiarlos
todo me resulta fascinante!",5,Me pareció muy interesante y muchos fenomenos que desconocia,2,
,,,,
No se como verlo o donde puedo encontrarlo,1,,,
"It has been a while since I first listened to it, but I do remember that most of the properties of black holes discussed in it I already knew about. Regardless, I was still interested in listening to see if I could learn anything new.",1,,,
